,Package Name,Reviewer,Review,Rating,,,,
44,com.jeyluta.timestampcamerafree,Balaji Ramachandran,Not using my phone,5,,,,
45,com.jeyluta.timestampcamerafree,Steven Dunnam,Great app works like its suppose to,5,,,,
46,com.jeyluta.timestampcamerafree,kelly estepa,Nice,5,,,,
47,com.jeyluta.timestampcamerafree,ANNELYN YENYEN CHAN,user friendly,5,,,,
48,com.jeyluta.timestampcamerafree,Jacob Carrasquillo,"REAL GOOD! BETTER THAN I EXPECTED, but for some features, requires PRO, which I don't have money for. Otherwise, the camera is beyond good.",5,,,,
49,com.jeyluta.timestampcamerafree,Nikhil Fulsunge,Normal aap,2,,,,
50,com.jeyluta.timestampcamerafree,Kanish Both,Okkkkk,5,,,,
51,com.jeyluta.timestampcamerafree,Syueb Abuhanifah,Not too bad,4,,,,
52,com.jeyluta.timestampcamerafree,Debashri Jana,Ok,3,,,,
53,com.jeyluta.timestampcamerafree,clydelegend09,Absolutely brilliant,5,,,,
54,com.jeyluta.timestampcamerafree,Gg Gy,Goooooooddddddddddddd,5,,,,
55,com.jeyluta.timestampcamerafree,daudi mussa,Perfect,5,,,,
56,com.jeyluta.timestampcamerafree,umer javed,Satisfying,5,,,,
57,com.jeyluta.timestampcamerafree,Md Nurul,Good,5,,,,
58,com.jeyluta.timestampcamerafree,Joe Axtell,Totally love the app!,5,,,,
59,com.jeyluta.timestampcamerafree,Tarun Manghnani,Nice,5,,,,
60,com.jeyluta.timestampcamerafree,James Linardi Hou,Is this for school?,5,,,,
61,com.jeyluta.timestampcamerafree,Dustin Klep,Works well to take pictures a d document time and date.,5,,,,
62,com.jeyluta.timestampcamerafree,deepak acharya,Good,5,,,,
63,com.jeyluta.timestampcamerafree,Oelof Kruger,Awesome,5,,,,
64,com.jeyluta.timestampcamerafree,Ganesh vavilapalli,Good app,5,,,,
65,com.jeyluta.timestampcamerafree,Subir Kundu,Very useful,5,,,,
66,com.jeyluta.timestampcamerafree,Shalini Bajpai,Very helpful...,4,,,,
67,com.jeyluta.timestampcamerafree,prem devpal,Ok,5,,,,
68,com.jeyluta.timestampcamerafree,Jude Laddaran,It's good,1,,,,
69,com.jeyluta.timestampcamerafree,Zulhafizy Ahmad,Night time photo not so good,3,,,,
70,com.jeyluta.timestampcamerafree,Cal Will,Need the app to have a 4 digit code to open & then lock after closed. Also need it to share automatically with cloud services like Google Drive & One Cloud .,1,,,,
71,com.jeyluta.timestampcamerafree,Praba Mrpee,Very good and fast,5,,,,
72,com.jeyluta.timestampcamerafree,Steve Cross,"I cant tell you how much I like and use this app, a came across a burst water main in the middle of the road the other day in the middle of nowhere, snapped the photo emailed reported done. I liked the app so much I purchased it as who wouldn't support a clever developer like this. Thank you",5,,,,
73,com.jeyluta.timestampcamerafree,arif budiman,Bagus,5,,,,
74,com.jeyluta.timestampcamerafree,lutgard brutas,very good,5,,,,
75,com.jeyluta.timestampcamerafree,Harshita Meena,Ok,5,,,,
76,com.jeyluta.timestampcamerafree,aj gako,So great 👍👍👍,5,,,,
77,com.jeyluta.timestampcamerafree,YES -I- CAN,Very incredible,5,,,,
78,com.jeyluta.timestampcamerafree,Dan Meskel,Perfect picture for providing proof that can not be disputed!,5,,,,
79,com.jeyluta.timestampcamerafree,Mehtab Farheen,Excellent,5,,,,
80,com.jeyluta.timestampcamerafree,richardpareja Pareja,Nice and very easy to use,5,,,,
81,com.jeyluta.timestampcamerafree,Yeo Chuen Kiat,Very user friendly,5,,,,
82,com.jeyluta.timestampcamerafree,Hi Mobile,👍👍👍👍👍,5,,,,
83,com.jeyluta.timestampcamerafree,Sheetal Sarang,Amazing app.,5,,,,
84,com.jeyluta.timestampcamerafree,Caleb Ayimful,It is a very good experience .,5,,,,
85,com.jeyluta.timestampcamerafree,Arief Sulfie,Good,5,,,,
86,com.jeyluta.timestampcamerafree,Karen Lippoldt,Love it. Perfect for work,5,,,,
87,com.jeyluta.timestampcamerafree,Anita French,Only thing wrong is saying address for next door. How do you change this ?,3,,,,
88,com.jeyluta.timestampcamerafree,Arki Vlogz-77,"Very good app, easy to use...",5,,,,
89,com.jeyluta.timestampcamerafree,Carl Schulze,A very handy app.,5,,,,
90,com.jeyluta.timestampcamerafree,Muhamad Mad,Gud,5,,,,
91,com.jeyluta.timestampcamerafree,jhong asia,Nice apps very useful...,5,,,,
92,com.jeyluta.timestampcamerafree,travis reynolds,Overall app works great after reading everyones complaints i then went back and checked your specs to understand why dont have as much as a problem compared to my colleagues and other uses. the reason most of you complaing about sluggish get a better phone this app works great on android 11 or up as per specs... loction issues you cant blame developer for that... that again is your phones gps accuracy. 1 suggestion thou pls add a feature for us peeps with 3 or more lenzes would love a wide angle,4,,,,
93,com.jeyluta.timestampcamerafree,joel panizales,Very usefull apps for me specially as riders,5,,,,
94,com.jeyluta.timestampcamerafree,Sachin Jadhav,Unexpected app nice,5,,,,
95,com.jeyluta.timestampcamerafree,Rani Zack,OK,5,,,,
96,com.jeyluta.timestampcamerafree,data team,👍 👍 👍 👍 👍,5,,,,
97,com.jeyluta.timestampcamerafree,bipin kumar,Picture and video quality came to very pls follow up,1,,,,
98,com.jeyluta.timestampcamerafree,devi singh,Good,5,,,,
99,com.jeyluta.timestampcamerafree,Joey's Ride PH,Excellent app,5,,,,
100,com.jeyluta.timestampcamerafree,Sheikh Mohammad Nazim,Beautiful app for proof,5,,,,
101,com.jeyluta.timestampcamerafree,Mitchell A,Perfect for when timestamps are important.,5,,,,
102,com.jeyluta.timestampcamerafree,Arren Garlinge,Best one I've found! Customisable and easy to use!,5,,,,
103,com.jeyluta.timestampcamerafree,Samuel Priscilla,Wonderful Ok,5,,,,
104,com.jeyluta.timestampcamerafree,marvu denish,Fantastic on my side,5,,,,
105,com.jeyluta.timestampcamerafree,darshan patel,Very nice app,4,,,,
106,com.jeyluta.timestampcamerafree,Mike Pongan,very good,5,,,,
107,com.jeyluta.timestampcamerafree,SATISH MINJ,Mind-blowing,5,,,,
108,com.jeyluta.timestampcamerafree,pohkhui,Pretty OK. The time and date stamp are 2 key things,4,,,,
109,com.jeyluta.timestampcamerafree,Naga Deep,WhatsApp comes very late to send picture that is the main problem,1,,,,
110,com.jeyluta.timestampcamerafree,Karun Jain,I liked it very much but the only problem is when i copy the image in the computer its not opening and an error msg appears always.,4,,,,
111,com.jeyluta.timestampcamerafree,Cleo Macabales,Awesome,5,,,,
112,com.jeyluta.timestampcamerafree,Dharwsh Ahmed,Good,5,,,,
113,com.jeyluta.timestampcamerafree,Patti Nammalwar,Good,4,,,,
114,com.jeyluta.timestampcamerafree,Avni jaiswal,"Very good ,excellent",4,,,,
115,com.jeyluta.timestampcamerafree,Ashley Buckee,Perfect for what I needed it for.,5,,,,
116,com.jeyluta.timestampcamerafree,Kenasion Kenasion,Good,5,,,,
117,com.jeyluta.timestampcamerafree,Abraham Alosodey,GPS,2,,,,
118,com.jeyluta.timestampcamerafree,Rizwan Ansari GULAFSHAN NAZEER,Everywhere....,5,,,,
119,com.jeyluta.timestampcamerafree,M.N. Akash,5 star,5,,,,
120,com.jeyluta.timestampcamerafree,Saibo OJ,"GOOD, BUT ITS DARK ON VIDEO WHEN AT NIGHT EVEN IF IT HAS A FLASHLIGHT",4,,,,
121,com.jeyluta.timestampcamerafree,Abhyraj Saini,Verry nice 👍👍👍👍,5,,,,
122,com.jeyluta.timestampcamerafree,Kenneth Kia,Nice app,5,,,,
123,com.jeyluta.timestampcamerafree,sanjit kumar panda,Very good,4,,,,
124,com.jeyluta.timestampcamerafree,ronnieTV Roco,Amazing camera... Nice apps,5,,,,
125,com.jeyluta.timestampcamerafree,Sylvia Abramovici,Very good app,5,,,,
126,com.jeyluta.timestampcamerafree,Teresa Duarte,Updated and fast,5,,,,
127,com.jeyluta.timestampcamerafree,Vergel Albacite,Excellent,5,,,,
128,com.jeyluta.timestampcamerafree,theintin ling,Good. Thanks you.,5,,,,
129,com.jeyluta.timestampcamerafree,tanmaya panigrahi,Gd,5,,,,
130,com.jeyluta.timestampcamerafree,yada giri,Very nice use full this app,4,,,,
131,com.jeyluta.timestampcamerafree,Judith Dangkua,Bagus,5,,,,
132,com.jeyluta.timestampcamerafree,Suthagar Sutha,Gud apps,5,,,,
133,com.jeyluta.timestampcamerafree,Zaini HP,Very good app.,4,,,,
134,com.jeyluta.timestampcamerafree,Awnish Pratap Singh,Some time it shows address but some time it doesn't.,2,,,,
135,com.jeyluta.timestampcamerafree,RAJU S B,Not fine,5,,,,
136,com.jeyluta.timestampcamerafree,Arvind,Best app ever to snap clocking picture.. No lagging,5,,,,
137,com.jeyluta.timestampcamerafree,Mukesh kumar,Fgu,3,,,,
138,com.jeyluta.timestampcamerafree,Ravi Sinha,Tabtod,5,,,,
139,com.jeyluta.timestampcamerafree,Mark Bagtas,Love it,5,,,,
140,com.jeyluta.timestampcamerafree,santhosh goud,Very useful for daily,5,,,,
141,com.jeyluta.timestampcamerafree,Chama Vishnu,Sp,5,,,,
142,com.jeyluta.timestampcamerafree,Riiko Tsurumi,Laggy and every time I captured a photo it wont show up in the app or my gallery. My storage is 225/250gb and this phone is brand new but it still wont work.,1,,,,
143,com.jeyluta.timestampcamerafree,DHARMENDRA KUMAR,best app,5,,,,
144,com.jeyluta.timestampcamerafree,rahmat abdullah,Qwertyuiop,5,,,,
145,com.jeyluta.timestampcamerafree,disney inefrnu,logging,5,,,,
146,com.jeyluta.timestampcamerafree,Rupali Budhavale,Excellent 👍,5,,,,
147,com.jeyluta.timestampcamerafree,Leon H,Some difficulty,3,,,,
148,com.jeyluta.timestampcamerafree,andy salvaña,Superb,5,,,,
149,com.jeyluta.timestampcamerafree,chantisuresh 44,V.good app,5,,,,
150,com.jeyluta.timestampcamerafree,Độ Phùng,Like that app.,5,,,,
151,com.jeyluta.timestampcamerafree,Familia Boado Compilation Videos,"This is the best camera app in the world you can pause your video while you're recording, and you can switch the camera while you're recording.",5,,,,
152,com.jeyluta.timestampcamerafree,Heer Haswani,Superb,5,,,,
153,com.jeyluta.timestampcamerafree,Sunil Patel,Very nice time stamp camera,5,,,,
154,com.jeyluta.timestampcamerafree,Tom Conn,Best Time Date Stamp app I have found. However the open shutter sound volume is not adjustable. And it is very loud and disturbing. Do not want to turn off. And do not not want to turn phone's volume down as it would affect other apps. Would happily pay for pro version if it would control volume. Otherwise will keep looking for another app.,4,,,,
155,com.jeyluta.timestampcamerafree,Yusi Rahmawati,Great app,5,,,,
156,com.jeyluta.timestampcamerafree,princess canlas,Very satisfied ☺️,5,,,,
157,com.jeyluta.timestampcamerafree,Ian Bradley,Inaccurate. The app is telling me I live at number 4 when I live at number 2,2,,,,
158,com.jeyluta.timestampcamerafree,Rina Ranee,Clear and easy to use,5,,,,
159,com.jeyluta.timestampcamerafree,Dan,Great for covid tests to prove you're positive.,5,,,,
160,com.jeyluta.timestampcamerafree,shrikanth poojary,I am facing error inthis app,5,,,,
161,com.jeyluta.timestampcamerafree,Shaikh Kaleem,Best💯,5,,,,
162,com.jeyluta.timestampcamerafree,Papa Rich Wee,Very good app.,5,,,,
163,com.jeyluta.timestampcamerafree,Xolile Distribution,Good,5,,,,
164,com.jeyluta.timestampcamerafree,Dipōñkōr Rūdřãpāūł,Diponkor Rudrapaul,5,,,,
165,com.jeyluta.timestampcamerafree,Arvind Sharma,Love it,5,,,,
166,com.jeyluta.timestampcamerafree,ಕೇಶವ್ ಗೌಡ,Great,5,,,,
167,com.jeyluta.timestampcamerafree,SURA Subramani,Best app .😍😍,5,,,,
168,com.jeyluta.timestampcamerafree,Luis Rojas,Love this app and use it alot and have gotten many people in my industry using it.,5,,,,
169,com.jeyluta.timestampcamerafree,Susan Ong,Easy to use n tell date time n locations.,5,,,,
170,com.jeyluta.timestampcamerafree,Seema Sharma,Nice,5,,,,
171,com.jeyluta.timestampcamerafree,G Backalic,The app is good what its for but the auto focus is failing me 40%of the time and i cant use wide angle camera on my s20plus.,3,,,,
172,com.jeyluta.timestampcamerafree,shikha aggarwal,Good,5,,,,
173,com.jeyluta.timestampcamerafree,Rananawab Nawab,Rajput,3,,,,
174,com.jeyluta.timestampcamerafree,Yashwant Mahajan,Nice,4,,,,
175,com.jeyluta.timestampcamerafree,Tanya Gulati,bhuau8iu,4,,,,
176,com.jeyluta.timestampcamerafree,Ch Karthik,Time stamp is not working,3,,,,
177,com.jeyluta.timestampcamerafree,Lance Bacharo,Nice apps,5,,,,
178,com.jeyluta.timestampcamerafree,Ezatullah Sajed,the best for Users,5,,,,
179,com.jeyluta.timestampcamerafree,Karthik Karthi,Ok,4,,,,
180,com.jeyluta.timestampcamerafree,rahmat ullah,Good camera,5,,,,
181,com.jeyluta.timestampcamerafree,Mdabdullmomin Mdabdullmomin,Good,5,,,,
182,com.jeyluta.timestampcamerafree,Ferdinand Paceno,Nice,5,,,,
183,com.jeyluta.timestampcamerafree,Elanko Ko,"Accurate, useful - I recommend it. Used it to time-stamp my daily ART results and send to my office.",5,,,,
184,com.jeyluta.timestampcamerafree,BOSS,Good app,5,,,,
185,com.jeyluta.timestampcamerafree,100%weightloss guarantee World Nutrition Tamil,Some time location is not available,3,,,,
186,com.jeyluta.timestampcamerafree,david mak,easy to use,5,,,,
187,com.jeyluta.timestampcamerafree,Eden Co,"Great App, I prefer having dates, location and time included in my photos.",5,,,,
188,com.jeyluta.timestampcamerafree,Uli,Never correct with location. Ever. I can never bring up the the flash controls. All of my pictures too dark. Simple flash on would be nice.,1,,,,
189,com.jeyluta.timestampcamerafree,Will Brown,Perfect app,5,,,,
190,com.jeyluta.timestampcamerafree,R Abdul Rawoof,This type of app photos are proof in some time.,5,,,,
191,com.jeyluta.timestampcamerafree,Gangone Sanjeev,Excellent,5,,,,
192,com.jeyluta.timestampcamerafree,Chandramohan Chandramohan,Good,5,,,,
193,com.jeyluta.timestampcamerafree,Omar-khan Hamja,very nice,5,,,,
194,com.jeyluta.timestampcamerafree,sandeep mahajan,Ghh,4,,,,
195,com.jeyluta.timestampcamerafree,Po To ut,good,5,,,,
196,com.jeyluta.timestampcamerafree,Iyan Jo,Nice,5,,,,
197,com.jeyluta.timestampcamerafree,Lucy Chia,Very good app. Thank you,5,,,,
198,com.jeyluta.timestampcamerafree,Peter Balnius,"Excellent app, took 1,500 pictures for a project. All photos came out perfect and identifyed!",5,,,,
199,com.jeyluta.timestampcamerafree,Mamta Singh,Super,4,,,,
200,com.jeyluta.timestampcamerafree,Rikisha Baboolal,It is a very nice app,1,,,,
201,com.jeyluta.timestampcamerafree,MNJ Production,Verry helpful,4,,,,
202,com.jeyluta.timestampcamerafree,hosen SG,Very good apps.. 😍,5,,,,
203,com.jeyluta.timestampcamerafree,Saadi Mohd,Agak susah untuk seeting,3,,,,
204,com.jeyluta.timestampcamerafree,Taj Uddin,Good 👍👍👍,5,,,,
205,com.jeyluta.timestampcamerafree,Proud Cebuana,Useful,5,,,,
206,com.jeyluta.timestampcamerafree,Wil Ussery,"The App needs to have an option for the end user to change the street address that is stamped on the photo. I just captured a photo where the actual address is 2274, but the software entered 2263. Fortunately I included the homes address in the photo. I think GPS, Timestamp, City, County and State should not be editable, but the street address should be editable. I have the Pro version.",4,,,,
207,com.jeyluta.timestampcamerafree,Lucien Pierre,Very good,4,,,,
208,com.jeyluta.timestampcamerafree,Richard Anthony Smith,This is amazing. So useful and convenient. Thank you!,5,,,,
209,com.jeyluta.timestampcamerafree,Adele Lindley,Excellent app. Recommended it to all my colleagues,4,,,,
210,com.jeyluta.timestampcamerafree,praveen verma,Really helpful app,5,,,,
211,com.jeyluta.timestampcamerafree,Jessie Ludwig,"Awsome,",1,,,,
212,com.jeyluta.timestampcamerafree,Mintu Medhi,Nice,5,,,,
213,com.jeyluta.timestampcamerafree,suresh kumar,Very good application 👍,5,,,,
214,com.jeyluta.timestampcamerafree,eshan sharma,"It gets you with timestamps(that start and stop button which pauses the video), the feature I wanted. Also, it's a very good app overall",5,,,,
215,com.jeyluta.timestampcamerafree,Sandra Mauney,Good app.Takes very clear pictures.Date shows clearly at bottom of picture.Like the app,5,,,,
216,com.jeyluta.timestampcamerafree,David Pang,Gd,5,,,,
217,com.jeyluta.timestampcamerafree,Nikritsha K.,Easy to use and convenient.,5,,,,
218,com.jeyluta.timestampcamerafree,Monica Ampat,Beautiful camera,3,,,,
219,com.jeyluta.timestampcamerafree,ERNEST MISQUITH,Truely awesome recommended app.,5,,,,
220,com.jeyluta.timestampcamerafree,Maryjean Ostia,I pick 4 stars it's a bit nice u can record and picture and edit download it now 😁,3,,,,
221,com.jeyluta.timestampcamerafree,manjo abao,The best,5,,,,
222,com.jeyluta.timestampcamerafree,Tim Bass,ok...but wish I go use the wider lens that I have on my smartphone.,4,,,,
223,com.jeyluta.timestampcamerafree,Shafiqul islam,Sh,5,,,,
224,com.jeyluta.timestampcamerafree,Gregory Brown,"Works as advertised, however, nearly half of the time it gives an incorrect, but near by address.",3,,,,
225,com.jeyluta.timestampcamerafree,Aman kushawaha,Nice and useful but app need to update because take to long time to open in right location,3,,,,
226,com.jeyluta.timestampcamerafree,xpaxunchr xpaxunchr,Ok,5,,,,
227,com.jeyluta.timestampcamerafree,Pankaj Gupta,Good,5,,,,
228,com.jeyluta.timestampcamerafree,vishal singh,ok,4,,,,
229,com.jeyluta.timestampcamerafree,Prasad Vanasetti,Perfect shot with gps,5,,,,
230,com.jeyluta.timestampcamerafree,Tim Dean,"I use this a lot for my job. I like the fact that you can turn on or off certain features, and the accuracy is really good.",5,,,,
231,com.jeyluta.timestampcamerafree,Shaye Crochran,Doesn't give right address everytime,4,,,,
232,com.jeyluta.timestampcamerafree,Ciprian Todoran,Usefull,5,,,,
233,com.jeyluta.timestampcamerafree,JAGPAL SINGH SAINI,Good,5,,,,
234,com.jeyluta.timestampcamerafree,Arif Hossain,Best app,5,,,,
235,com.jeyluta.timestampcamerafree,aisyah ayraa,Good apps.easy to use.overall best apps yet.,5,,,,
236,com.jeyluta.timestampcamerafree,సాయి బాబా ఆర్ట్స్ మూవీ,Super bro,5,,,,
237,com.jeyluta.timestampcamerafree,Srinivas Rao Nayani,Good able to get what's needed,5,,,,
238,com.jeyluta.timestampcamerafree,Shrikanth S,Super,5,,,,
239,com.jeyluta.timestampcamerafree,Nungnang chakma Nungnang,Very good app,4,,,,
240,com.jeyluta.timestampcamerafree,SriMani maran,Ok,5,,,,
241,com.jeyluta.timestampcamerafree,Maheka Arthana,Now is not good,3,,,,
242,com.jeyluta.timestampcamerafree,Sukdev Sing,Excellent!,5,,,,
243,com.jeyluta.timestampcamerafree,king gerald cura,good,5,,,,
244,com.jeyluta.timestampcamerafree,kiyaam coetzee,Very good on detail too,5,,,,
245,com.jeyluta.timestampcamerafree,Shwetha TS,Problem in attaching snap to another app,1,,,,
246,com.jeyluta.timestampcamerafree,hem singh rathore,Nice,5,,,,
247,com.jeyluta.timestampcamerafree,HERMENEGILDO MEEK MSIMANGO,Exquisite!,5,,,,
248,com.jeyluta.timestampcamerafree,Yogesh Sharma,Good camera,5,,,,
249,com.jeyluta.timestampcamerafree,Premchand Sahni,Good app,5,,,,
250,com.jeyluta.timestampcamerafree,Ah Wu,"Time is according to what is set on the phone rather than the timezone for GPS, a widely exploited function. Timestamp becomes literally useless.",2,,,,
251,com.jeyluta.timestampcamerafree,23 23,Good app,5,,,,
252,com.jeyluta.timestampcamerafree,Ashish Burman,A user friendly app for geo tagging.,4,,,,
253,com.jeyluta.timestampcamerafree,Tenika Heard,Perfect for my job! Easy to use! Convenient app,5,,,,
254,com.jeyluta.timestampcamerafree,Hoy Sum,"Picture Blur and if I use Flash, the picture will turn Black. When I use the phone built in camera software, the picture is sharp and clear.",1,,,,
255,com.jeyluta.timestampcamerafree,MIKESTEFF VLOGS,please the way you talk and the sound doenst perfectly match please fix it,1,,,,
256,com.jeyluta.timestampcamerafree,Benjie Tamboboy,OK very good,5,,,,
257,com.jeyluta.timestampcamerafree,Ravi Kumar,TT 7lro,1,,,,
258,com.jeyluta.timestampcamerafree,MD ALI HOSEN,Good,5,,,,
259,com.jeyluta.timestampcamerafree,GoodShot Delta46,Works great I use it at work.,5,,,,
260,com.jeyluta.timestampcamerafree,Kgoloane Bogopa,Excellent and widely recognized,5,,,,
261,com.jeyluta.timestampcamerafree,S.rajasingam Raja,T.Q,5,,,,
262,com.jeyluta.timestampcamerafree,Kyaw Myo Htet,This app is doesn't work flash camera in my phone.,4,,,,
263,com.jeyluta.timestampcamerafree,AAKASH SISODIA,good,5,,,,
264,com.jeyluta.timestampcamerafree,somnath swain,Nice aap,5,,,,
265,com.jeyluta.timestampcamerafree,Bongumusa Mbele,Good,5,,,,
266,com.jeyluta.timestampcamerafree,Meerasha Sahul,Good cameta,5,,,,
267,com.jeyluta.timestampcamerafree,Chew Hock guan,Very good app. TKS,5,,,,
268,com.jeyluta.timestampcamerafree,Rajashekar Kaniganti,Good,4,,,,
269,com.jeyluta.timestampcamerafree,Tariq Mishal Ansari,Pretty simple and useful app.,5,,,,
270,com.jeyluta.timestampcamerafree,pavankumar kajagar,Excellent why download propses slow,5,,,,
271,com.jeyluta.timestampcamerafree,JD Domingo,"very reliable application, makes presentation better",5,,,,
272,com.jeyluta.timestampcamerafree,Pervaiz Ahmad,Good app,5,,,,
273,com.jeyluta.timestampcamerafree,Jessie T. Selga,it helps me with my work now as a courier/rider. it helps me making proof of my deliveries. thanks guys. hoping to have it a full version for free. haha. thanks anyway.,5,,,,
274,com.jeyluta.timestampcamerafree,ROYAL GAMING,Jde,5,,,,
275,com.jeyluta.timestampcamerafree,Beautiful LoveBirds,Nice one I like it,5,,,,
276,com.jeyluta.timestampcamerafree,محمدرفیق محمدحنیفؒ,"ALLAH LAAL, MURSHAD LAAL & SAKHI LAAL",5,,,,
277,com.jeyluta.timestampcamerafree,punjab 78,ਆਮ ਕੈਮਰਿਆਂ ਨਾਲੋਂ ਇਸ ਕੈਮਰੇ ਦਾ ਨਤੀਜਾ ਚੰਗਾ ਹੈ।,5,,,,
278,com.jeyluta.timestampcamerafree,Shailendra Girme,Good,5,,,,
279,com.jeyluta.timestampcamerafree,Antipas Philip,Eexellent,5,,,,
280,com.jeyluta.timestampcamerafree,NANABHAU SARPATE,Very useful as it shows time and location as well as date.,5,,,,
281,com.jeyluta.timestampcamerafree,Mervin Knowles,Totally in love with this lovely App. Thanks to the developers.,5,,,,
282,com.jeyluta.timestampcamerafree,Marsha Hart,Great,5,,,,
283,com.jeyluta.timestampcamerafree,SAROJ SINGH,Nice,4,,,,
284,com.jeyluta.timestampcamerafree,raja solai,Ok,4,,,,
285,com.jeyluta.timestampcamerafree,Aftab Cheema,Good working,4,,,,
286,com.jeyluta.timestampcamerafree,Lucky Ngomani,Nice🤗,5,,,,
287,com.jeyluta.timestampcamerafree,Sanjay Bellary Channabasappa,Very useful,5,,,,
288,com.jeyluta.timestampcamerafree,Manohar Rathore,Best Application,5,,,,
289,com.jeyluta.timestampcamerafree,Veerendra Shetty,Super,5,,,,
290,com.jeyluta.timestampcamerafree,K.DILESWAR RAO,Awesome,5,,,,
291,com.jeyluta.timestampcamerafree,L KW,Good to see time,5,,,,
292,com.jeyluta.timestampcamerafree,andenete anbese,Good,5,,,,
293,com.jeyluta.timestampcamerafree,Kanu Parmar,Good,5,,,,
294,com.jeyluta.timestampcamerafree,Devin Delaney,Great experience with app. Does exactly what I want for it to do.,5,,,,
295,com.jeyluta.timestampcamerafree,Mahesh Marapalle,Nice,3,,,,
296,com.jeyluta.timestampcamerafree,Rk gamers,It's useful application,3,,,,
297,com.jeyluta.timestampcamerafree,Edgar James Salazar,Turning off flash should be fix and then 5 star,4,,,,
298,com.jeyluta.timestampcamerafree,Lim Wye,Useful as it keeps track of time photo is taken,4,,,,
299,com.jeyluta.timestampcamerafree,J Melisky,Tells me everything about the location of the photo. Great app,5,,,,
