,Package Name,Reviewer Name,Review,Rating,,,,,
21,com.dozingcatsoftware.cameratimer,MRitz S,Bad no way of telling time until last 4 beep,1,,,,,
22,com.dozingcatsoftware.cameratimer,David Ring,Takes pictures upside down. LoL gimme a break bro. The whole app is for the camera and you guys can't handle orientation? Hell nah.,1,,,,,
23,com.dozingcatsoftware.cameratimer,Bony Hembrom,Nice app,5,,,,,
24,com.dozingcatsoftware.cameratimer,Rehan Hussain,Sick appp,5,,,,,
25,com.dozingcatsoftware.cameratimer,Bree B.,"SO BAD!! Literally the only good thing is a timer and all phones have that. The burst shot doesn't have time in between photos, the gallery won't let you send multiple images at once so you have to send them all individually, and an ad pops up literally every time you change screens including while you're taking photos.",1,,,,,
26,com.dozingcatsoftware.cameratimer,ajit singh,Not bad but tik kik is your dad,5,,,,,
27,com.dozingcatsoftware.cameratimer,Alan Ryan,Bloody hell this is so bad it can be used as a torcher method,1,,,,,
28,com.dozingcatsoftware.cameratimer,the perversion of light,Trash,1,,,,,
29,com.dozingcatsoftware.cameratimer,Pravin koli,Photo ache he,3,,,,,
30,com.dozingcatsoftware.cameratimer,Jon Lemasters,Can't set time between pictures. Fairly useless.,2,,,,,
31,com.dozingcatsoftware.cameratimer,The Unique Monbebe,👎,1,,,,,
32,com.dozingcatsoftware.cameratimer,Nabwire Winny,Why Is't alerming when I take a photo and it doesn't save it,1,,,,,
33,com.dozingcatsoftware.cameratimer,Ruth Toynton,"Really not good, I installed this and the adverts making it unusable. I've had to delete it.",1,,,,,
34,com.dozingcatsoftware.cameratimer,Kakai Cidra,Good,5,,,,,
35,com.dozingcatsoftware.cameratimer,Rajesh Rathod,Best,5,,,,,
36,com.dozingcatsoftware.cameratimer,100ddvdd,Crashing.,1,,,,,
37,com.dozingcatsoftware.cameratimer,Manasi Mukherjee,Worst app... don't download it..😠,1,,,,,
38,com.dozingcatsoftware.cameratimer,Srikanta Pandit,Bal er app Rubbish.... Only time waste,1,,,,,
39,com.dozingcatsoftware.cameratimer,John Doe,"Can only chose between 0, 5 or 15 seconds. Also has annoying ads with sounds",1,,,,,
40,com.dozingcatsoftware.cameratimer,Gaurav Reddy,Waste,1,,,,,
41,com.dozingcatsoftware.cameratimer,Rhen Corless,Sounds do not correspond to anything. Deleted immediatly. Sucks!,1,,,,,
42,com.dozingcatsoftware.cameratimer,Babić,"Nice and simple, does the job",5,,,,,
43,com.dozingcatsoftware.cameratimer,diy crafts,Verrrrrrrrrrrry bad app don't use it a waste of time,1,,,,,
44,com.dozingcatsoftware.cameratimer,Shelly Thakur,Excellent,5,,,,,
45,com.dozingcatsoftware.cameratimer,Phantom Johnson,Keep on stopping when in use,1,,,,,
46,com.dozingcatsoftware.cameratimer,Tanisha Prasad,This app doesn't even save the picture. This is the worst app pliz do not install,1,,,,,
47,com.dozingcatsoftware.cameratimer,parasitic narwhal,"Don't bother testing this app, it doesn't even take pictures.",1,,,,,
48,com.dozingcatsoftware.cameratimer,Vanessa Alcantara,good,5,,,,,
49,com.dozingcatsoftware.cameratimer,jazmin,doesn't even take the photo-,1,,,,,
50,com.dozingcatsoftware.cameratimer,Bill Pchajek,I was initially annoyed that the app couldn't save the pic because the directory it was trying to save to didn't exist. I restarted the app and it asked permission to access files then the problem resolved itself. It works great for my dollar store selfie stick.,3,,,,,
51,com.dozingcatsoftware.cameratimer,Mukisa Jemimah,Fine,1,,,,,
52,com.dozingcatsoftware.cameratimer,Vanj Albis,"Gosh, I didn't think the developers would lie about being the best camera app in the Google play store. Because it doesn't even take a picture! You might be seeing a 5 star for me if you make this app better.",1,,,,,
53,com.dozingcatsoftware.cameratimer,vineet nagar,Good,5,,,,,
54,com.dozingcatsoftware.cameratimer,Elyor Begmurad,I don't find the captured photo,1,,,,,
55,com.dozingcatsoftware.cameratimer,Kevan Taylor,Easy to use and handy for the timesbyou need a free hand,5,,,,,
56,com.dozingcatsoftware.cameratimer,MylesTheDripGod,This app is terrible It won't allow you to take pictures because of a error,1,,,,,
57,com.dozingcatsoftware.cameratimer,Evedanielle jagmocc _ liliaa,I love thissss 2000 times,4,,,,,
58,com.dozingcatsoftware.cameratimer,Joost Ploegmakers,Can't store images due to some bug,1,,,,,
59,com.dozingcatsoftware.cameratimer,Zafar Iqbal Arain,This is an awesome appp... I am lovin it..... Best friend when you have no one around you for a click....😍😍,5,,,,,
60,com.dozingcatsoftware.cameratimer,t a s y o t,The picture quality is blur,1,,,,,
61,com.dozingcatsoftware.cameratimer,Shama Ali,It is very bas waste of time,1,,,,,
62,com.dozingcatsoftware.cameratimer,Tisha Hix,Good,5,,,,,
63,com.dozingcatsoftware.cameratimer,Jxey RL,It dont save gay ass picture app,1,,,,,
64,com.dozingcatsoftware.cameratimer,suga priya,Quality bad,1,,,,,
65,com.dozingcatsoftware.cameratimer,Carlos Velazquez,Fix your snaz,1,,,,,
66,com.dozingcatsoftware.cameratimer,Thimu Netshilinganedza,It can't save pics,1,,,,,
67,com.dozingcatsoftware.cameratimer,ali,It won't let me download it,1,,,,,
68,com.dozingcatsoftware.cameratimer,budala prashanth,Good app,5,,,,,
69,com.dozingcatsoftware.cameratimer,Isaac Latulippe,Stupid asf,1,,,,,
70,com.dozingcatsoftware.cameratimer,Victor Ulanta,Not just ok,1,,,,,
71,com.dozingcatsoftware.cameratimer,Royce Pease,Doesn't even take pictures,1,,,,,
72,com.dozingcatsoftware.cameratimer,Stefan Filitis,Nice to have it,5,,,,,
73,com.dozingcatsoftware.cameratimer,Mosoeunyana Mokoena,Op509,5,,,,,
74,com.dozingcatsoftware.cameratimer,Elvin Quluzada,Good zad,5,,,,,
75,com.dozingcatsoftware.cameratimer,Dead_Space_T_,Does not want to save😭😭😭,2,,,,,
76,com.dozingcatsoftware.cameratimer,ganesh.m ganesh.m,thukali app,1,,,,,
77,com.dozingcatsoftware.cameratimer,my world amee,good,5,,,,,
78,com.dozingcatsoftware.cameratimer,lance marx,wsa qyq.lelllll,2,,,,,
79,com.dozingcatsoftware.cameratimer,Nawaf Abu-Ghazaleh,It doesn't store the photos... There is an error in the software.,1,,,,,
80,com.dozingcatsoftware.cameratimer,Hashtag your heart out,I'd be a good app if it ACTUALLY TOOK THE PHOTO,2,,,,,
81,com.dozingcatsoftware.cameratimer,Romish saini,fake,1,,,,,
82,com.dozingcatsoftware.cameratimer,Am C,Can't save,2,,,,,
83,com.dozingcatsoftware.cameratimer,Grace Williamson,Broken,1,,,,,
84,com.dozingcatsoftware.cameratimer,amruta bhat,well thought app. but UI could have been better. also the camera quality. but this app did not serve my purpose.,2,,,,,
85,com.dozingcatsoftware.cameratimer,Jon Pritchard,very easy to use,5,,,,,
86,com.dozingcatsoftware.cameratimer,Mamnat Shoaib,update the camera quality,4,,,,,
87,com.dozingcatsoftware.cameratimer,Wayne Wrestler,This app dosent work after you take a picture you get an error message ive seen many comments saying the same thing,1,,,,,
88,com.dozingcatsoftware.cameratimer,Yusuf Nz,👍 👍 👍 👍,4,,,,,
89,com.dozingcatsoftware.cameratimer,Colin Craig,photos don't save.,1,,,,,
90,com.dozingcatsoftware.cameratimer,Runa Pan,the worst app ever i went to click some picture at the right moment and it is saying cant save picture,1,,,,,
91,com.dozingcatsoftware.cameratimer,Hemanti Negi,bilkul bekaar hai'.😫😫😫,1,,,,,
92,com.dozingcatsoftware.cameratimer,Alicia Van Staden,such bad quality,1,,,,,
93,com.dozingcatsoftware.cameratimer,ROSE DYNASTY,I can do cool shots,5,,,,,
94,com.dozingcatsoftware.cameratimer,nilesh gundalkar,stupid app hate it can't take photos the quality and timer is very bad,1,,,,,
95,com.dozingcatsoftware.cameratimer,Lauren B,Doesn't Work,1,,,,,
96,com.dozingcatsoftware.cameratimer,Nia Styles,"its so slow, it takes one after aminute or two not in secs",1,,,,,
97,com.dozingcatsoftware.cameratimer,A Google user,Great job... But my phone can't take pics that it can't find storage why .. Why saving error.. It can't take any picture,5,,,,,
98,com.dozingcatsoftware.cameratimer,Sam Davies,"doesn't take pictures, just says error",1,,,,,
99,com.dozingcatsoftware.cameratimer,A Google user,nice one,5,,,,,
100,com.dozingcatsoftware.cameratimer,A Google user,didn't work,1,,,,,
101,com.dozingcatsoftware.cameratimer,Chong Tze Haw,It is unable to save photo. Waste time.,1,,,,,
102,com.dozingcatsoftware.cameratimer,Chiawa obinna,it is very very fantastic!,5,,,,,
103,com.dozingcatsoftware.cameratimer,VAISHNVI BAHETI,doesn't work,1,,,,,
104,com.dozingcatsoftware.cameratimer,A Google user,if it would save pics,5,,,,,
105,com.dozingcatsoftware.cameratimer,A Google user,it couldnt save it didnt understand how?!?,2,,,,,
106,com.dozingcatsoftware.cameratimer,gnostikz 89,wast of time downloaded and took 1 pic and cant save! parhetic app. gave 1 star coz i had too,1,,,,,
107,com.dozingcatsoftware.cameratimer,A Google user,"It keep sayin eror, stupid app",1,,,,,
108,com.dozingcatsoftware.cameratimer,A Google user,so add ridden,1,,,,,
109,com.dozingcatsoftware.cameratimer,A Google user,its perfect,4,,,,,
110,com.dozingcatsoftware.cameratimer,A Google user,gud,3,,,,,
111,com.dozingcatsoftware.cameratimer,Alexander Agboola Oluseyi,It makes me look perfect just the way I want it,3,,,,,
112,com.dozingcatsoftware.cameratimer,Karo Ikede,"It always keep saying error in saving picture,its so heartbreaking",1,,,,,
113,com.dozingcatsoftware.cameratimer,Er.Kennedy Tirkey,Very Bad app... Say camera stopped,1,,,,,
114,com.dozingcatsoftware.cameratimer,S.S Gaming 007,Nice use,5,,,,,
115,com.dozingcatsoftware.cameratimer,A Google user,It's really good for nice quality pics,5,,,,,
116,com.dozingcatsoftware.cameratimer,A Google user,I love it👍,5,,,,,
117,com.dozingcatsoftware.cameratimer,Ali Alanezi,💜,5,,,,,
118,com.dozingcatsoftware.cameratimer,Autumm,It's ass,1,,,,,
119,com.dozingcatsoftware.cameratimer,Syra Ismail,Can't even save the photos Ive taken,1,,,,,
120,com.dozingcatsoftware.cameratimer,A Google user,Don't work,1,,,,,
121,com.dozingcatsoftware.cameratimer,A Google user,Good,3,,,,,
122,com.dozingcatsoftware.cameratimer,VI P,"Don't download and waste time and money 👎 Is this a timer app? Lol Why 
even these developers are valid on appstore 😁.",1,,,,,
123,com.dozingcatsoftware.cameratimer,Tony Nameless,No focus,1,,,,,
124,com.dozingcatsoftware.cameratimer,A Google user,Its nyc,5,,,,,
125,com.dozingcatsoftware.cameratimer,Lijah,Failed to save photo on first try...,1,,,,,
126,com.dozingcatsoftware.cameratimer,A Google user,"Its terrible and it doesnt work for what it says it does it says saving 
error dont download this its a waste of EVERYONE'S TIME",1,,,,,
127,com.dozingcatsoftware.cameratimer,Ed Siefker,Burst mode is not configurable,1,,,,,
128,com.dozingcatsoftware.cameratimer,maddy dukes,It's not good it has an error thing that it can't take a pic,1,,,,,
129,com.dozingcatsoftware.cameratimer,Jakub Muszynski,"Well, i can't save pictures for some reason so...2/5 stars right now",2,,,,,
130,com.dozingcatsoftware.cameratimer,Bad Monkey,"Don't bother. Every phone I've owned comes with a delay timer. That's all I 
could get this app to do and you get a ton of adverts with it. Whoopee. I 
want to set a timer of say, 5seconds, then have the phone keep taking 
pictures every 5 seconds.",1,,,,,
131,com.dozingcatsoftware.cameratimer,Brian Davis,Easy to use and exactly what I wanted,5,,,,,
132,com.dozingcatsoftware.cameratimer,Renna Johnson,"It takes real nice pictures and give you a quick quality and yes it is one 
camera.",5,,,,,
133,com.dozingcatsoftware.cameratimer,mina s,Coolllll,5,,,,,
134,com.dozingcatsoftware.cameratimer,Fun with Baby alive,ITS A STUPID APP DUMBBY IDIOT,1,,,,,
135,com.dozingcatsoftware.cameratimer,Kamal Khan,kamal,5,,,,,
136,com.dozingcatsoftware.cameratimer,Marilyn Barraza,First try and ade a erro H,1,,,,,
137,com.dozingcatsoftware.cameratimer,G Studio Games,Gof job,5,,,,,
138,com.dozingcatsoftware.cameratimer,A Google user,"This is a zero. I get a full screen of advertising. If I get past that there a Let Go advertisement on the right side. I switch the camera to the front camera, hit the photo icon and ... nothing happens.  Fix the app please. it is embarrassing. I am uninstalling it now..",1,,,,,
139,com.dozingcatsoftware.cameratimer,Rajath Patavardhan,Remove it from the playstore please..,1,,,,,
140,com.dozingcatsoftware.cameratimer,A Google user,You are greedy,5,,,,,
141,com.dozingcatsoftware.cameratimer,Marites Ambatali,I love it thanks,5,,,,,
142,com.dozingcatsoftware.cameratimer,Brian Donovan,Trash stop having the overlay detected problem too,1,,,,,
143,com.dozingcatsoftware.cameratimer,A Google user,Super bad,1,,,,,
144,com.dozingcatsoftware.cameratimer,HKgmail,very good,5,,,,,
145,com.dozingcatsoftware.cameratimer,A Google user,Hate it Hate it,1,,,,,
146,com.dozingcatsoftware.cameratimer,A Google user,Cool,5,,,,,
147,com.dozingcatsoftware.cameratimer,Tabby ishere,This sucks it won't even take pictures,1,,,,,
148,com.dozingcatsoftware.cameratimer,Red Triceratops,Handy and fast download!,5,,,,,
149,com.dozingcatsoftware.cameratimer,Makena Nuru,Its cool,5,,,,,
150,com.dozingcatsoftware.cameratimer,Juju Velez,Your Age is 12,5,,,,,
151,com.dozingcatsoftware.cameratimer,Dzintars Granapskis,Rubbish,1,,,,,
152,com.dozingcatsoftware.cameratimer,Thejani Mahadiulwewa,It's good....but takes time....it's useful because it has a timer and you can take pics in selfie mode...😊,4,,,,,
153,com.dozingcatsoftware.cameratimer,A Google user,Worst app ever,1,,,,,
154,com.dozingcatsoftware.cameratimer,Mark McKeown,Won't save any or take any photos,1,,,,,
155,com.dozingcatsoftware.cameratimer,A Google user,Best app in the world,5,,,,,
156,com.dozingcatsoftware.cameratimer,Mahesh Mohta,It's really useful app,5,,,,,
157,com.dozingcatsoftware.cameratimer,A Google user,"It is a time waste app. Don't, download it,.... . ...",1,,,,,
158,com.dozingcatsoftware.cameratimer,Abdul Hamid Laskar,It's adorable awesome dea👌👌👌👌 actually you know what gays I was looking this... Only this😘😘😘😘😘,5,,,,,
159,com.dozingcatsoftware.cameratimer,A Google user,Garbage,1,,,,,
160,com.dozingcatsoftware.cameratimer,malcinnamon,I love using those apps it really helps to get good selfies,5,,,,,
161,com.dozingcatsoftware.cameratimer,Marinko Dzale,Horrible app. Skip it.,1,,,,,
162,com.dozingcatsoftware.cameratimer,A Google user,It's a amazing app.I love you,5,,,,,
163,com.dozingcatsoftware.cameratimer,Ikede Stephanie,"Useless and fake app.  Don't bother downloading,  it's pure error. Worst app ever.",1,,,,,
164,com.dozingcatsoftware.cameratimer,lalit upadhyay,This not a good app,2,,,,,
165,com.dozingcatsoftware.cameratimer,RBE MOVIES CLUB,Nice,1,,,,,
166,com.dozingcatsoftware.cameratimer,MichaelTrevor Naughton,Works great set it to 5 seconds hit the button gather kids and it take shot 5 4 pics,5,,,,,
167,com.dozingcatsoftware.cameratimer,Azaria Greene,The quality sucks,1,,,,,
168,com.dozingcatsoftware.cameratimer,Vic Kislovsky,It Didnt work,1,,,,,
169,com.dozingcatsoftware.cameratimer,Lana Roque,Won't save pictures,1,,,,,
170,com.dozingcatsoftware.cameratimer,Dr Basavaraj Aldi,This app stops and not working.,1,,,,,
171,com.dozingcatsoftware.cameratimer,Clay Richard,Ads are overly intrusive. I also coudn' t get timer set and I got a save error on my first try. With the intrusive ads it isn't worth it to solve the other problems.,2,,,,,
172,com.dozingcatsoftware.cameratimer,Karl Kunej,"Says ""error cannot create picture folder"" won't save pictures",1,,,,,
173,com.dozingcatsoftware.cameratimer,Ron Enoch,I hate this app,1,,,,,
174,com.dozingcatsoftware.cameratimer,Gladys Rodríguez Pitre,I enjoy this app soo much!,5,,,,,
175,com.dozingcatsoftware.cameratimer,adel zahedi,Doesn't save the photos!,1,,,,,
176,com.dozingcatsoftware.cameratimer,A Google user,Ok,5,,,,,
177,com.dozingcatsoftware.cameratimer,Johnathan Jones,Amazing never had such a good picture fab,5,,,,,
178,com.dozingcatsoftware.cameratimer,Hailey Jordan,Cool,4,,,,,
179,com.dozingcatsoftware.cameratimer,A Google user,I love the camera. and if it wasn't for all the ads I would keep but because of all the ads I'm gonna unstall the app and cause the ads I'm forced to give it *** IF IT WASN'T FOR THE ADS I WOULD KEEP IT,4,,,,,
180,com.dozingcatsoftware.cameratimer,kay heard,I get tired of selfees were I look stiff on one side from holding camera wt this app I can be hans free to pose and its still a selfee,5,,,,,
181,com.dozingcatsoftware.cameratimer,Dani Domination,It sucks. Picture quality is terrible.,1,,,,,
182,com.dozingcatsoftware.cameratimer,Priyanka Sehrawat,Not bakwas,5,,,,,
183,com.dozingcatsoftware.cameratimer,Ds HD,Amazing app,5,,,,,
184,com.dozingcatsoftware.cameratimer,A Google user,Best,5,,,,,
185,com.dozingcatsoftware.cameratimer,Maria Stewart,dont mind this app it works great for me tho.,3,,,,,
186,com.dozingcatsoftware.cameratimer,clement monametsi,Timing feature works well BUT pictures are so small...,2,,,,,
187,com.dozingcatsoftware.cameratimer,George Grosman,Works just fine,5,,,,,
188,com.dozingcatsoftware.cameratimer,Joshua Clements,It's alright,4,,,,,
189,com.dozingcatsoftware.cameratimer,Kenchappa KN,Nice,4,,,,,
190,com.dozingcatsoftware.cameratimer,A Google user,I love it,4,,,,,
191,com.dozingcatsoftware.cameratimer,A Google user,No,2,,,,,
192,com.dozingcatsoftware.cameratimer,Clive Fewings,Abort this crap.,1,,,,,
193,com.dozingcatsoftware.cameratimer,Benjamin Hershey,Pictures are absolutely horrible resolution,1,,,,,
194,com.dozingcatsoftware.cameratimer,Patrick Nærvig Wøhlk,Doesn't take phoro,1,,,,,
195,com.dozingcatsoftware.cameratimer,Dr Bharathi,This is the worst app ever,1,,,,,
196,com.dozingcatsoftware.cameratimer,Benedicta Mbroh,I love  it,5,,,,,
197,com.dozingcatsoftware.cameratimer,GARVIT CHAUHAN,Worst,1,,,,,
198,com.dozingcatsoftware.cameratimer,A Google user,Error message on first use. Msg doesn't provide any clues on how to fix.,1,,,,,
199,com.dozingcatsoftware.cameratimer,A Google user,Hulll its dumb,1,,,,,
200,com.dozingcatsoftware.cameratimer,Amit Kumar,Extreme cool app,5,,,,,
201,com.dozingcatsoftware.cameratimer,Court Mark,Add gallery to the device to form camera and gallery,5,,,,,
202,com.dozingcatsoftware.cameratimer,Jose Chacon,Not  working😠😡 FIX IT!!! This Damn timer that allows take photos is not giving the confidence😪😴,2,,,,,
203,com.dozingcatsoftware.cameratimer,A Google user,Really cool app Wow,4,,,,,
204,com.dozingcatsoftware.cameratimer,Tom Hooshley,Handy when I'm fishing by myself and want a picture,4,,,,,
205,com.dozingcatsoftware.cameratimer,A Google user,I love that you CA. E hence the photos so well,5,,,,,
206,com.dozingcatsoftware.cameratimer,Pornchai Kongpermkoson,no setting to save,1,,,,,
207,com.dozingcatsoftware.cameratimer,Anita Rathore,Cool,1,,,,,
208,com.dozingcatsoftware.cameratimer,Yash Verma,God,5,,,,,
209,com.dozingcatsoftware.cameratimer,A Google user,I think it was great,4,,,,,
210,com.dozingcatsoftware.cameratimer,Hitori Kaosu,Terrible picture quality and it doesn't work too well at all.,1,,,,,
211,com.dozingcatsoftware.cameratimer,Stale Water,When I took a pic it was stretched,1,,,,,
212,com.dozingcatsoftware.cameratimer,Shadia Ali,Nice,1,,,,,
213,com.dozingcatsoftware.cameratimer,MOHAMMED ILIYAS,Thank you so much,5,,,,,
214,com.dozingcatsoftware.cameratimer,Fffgg Ggg,Love it,5,,,,,
215,com.dozingcatsoftware.cameratimer,A Google user,I used to love this app and use it daily. But for some reason an Error message pops up and it doesn't take photos anymore! Stupid!,1,,,,,
216,com.dozingcatsoftware.cameratimer,Nick Donley,Doesn't work,1,,,,,
217,com.dozingcatsoftware.cameratimer,Jayme Andreah,Niccceee,4,,,,,
218,com.dozingcatsoftware.cameratimer,Charles Bartilet,Its so stupid no filters 😬😬😬,1,,,,,
219,com.dozingcatsoftware.cameratimer,Shehbaz Jutt,Samma,5,,,,,
220,com.dozingcatsoftware.cameratimer,Jamila Bantayan,I love it,5,,,,,
221,com.dozingcatsoftware.cameratimer,Zain Ali,I love this app,1,,,,,
222,com.dozingcatsoftware.cameratimer,Nathaly Castro,It's so boring and it doesn't even do it right,5,,,,,
223,com.dozingcatsoftware.cameratimer,Martin Mcshane,Won't save pictures,1,,,,,
224,com.dozingcatsoftware.cameratimer,A Google user,Self timer camera,5,,,,,
225,com.dozingcatsoftware.cameratimer,Patel Parth,Good,1,,,,,
226,com.dozingcatsoftware.cameratimer,Animals Warld,app,5,,,,,
227,com.dozingcatsoftware.cameratimer,Igor Henrique,"Lixo, a foto sai minuscula",1,,,,,
228,com.dozingcatsoftware.cameratimer,Katelyn Stack,Me,5,,,,,
229,com.dozingcatsoftware.cameratimer,SUSHIL KUMAR,like this,5,,,,,
230,com.dozingcatsoftware.cameratimer,asia,This app camera had terrible quality not worth the space on your phone.,1,,,,,
231,com.dozingcatsoftware.cameratimer,Prateek Kumar,I loved it,5,,,,,
232,com.dozingcatsoftware.cameratimer,Garrett Gregory,Won't even save the pictures I tried to take.,1,,,,,
233,com.dozingcatsoftware.cameratimer,A Google user,I wish you could take more than four photos,3,,,,,
234,com.dozingcatsoftware.cameratimer,Kamoni Kendrick,Uhhhhhhhhhh.......,1,,,,,
235,com.dozingcatsoftware.cameratimer,Oliver H,It has the timer or whatever but than it just says error cant take pictures,1,,,,,
236,com.dozingcatsoftware.cameratimer,Arthur Colombo,Not enough options to make it Worth it,1,,,,,
237,com.dozingcatsoftware.cameratimer,shah shah,Nice,4,,,,,
238,com.dozingcatsoftware.cameratimer,Austin Dumbleton,Worst camera ever.,1,,,,,
239,com.dozingcatsoftware.cameratimer,A Google user,Limited to 4 pictures.,1,,,,,
240,com.dozingcatsoftware.cameratimer,Ibad Aslam,Like a real photo,5,,,,,
241,com.dozingcatsoftware.cameratimer,Adham,Good picture.more ads.i will delete it now,1,,,,,
242,com.dozingcatsoftware.cameratimer,Syafienasketodf Fiey,I like,1,,,,,
243,com.dozingcatsoftware.cameratimer,Bill Gervasi,"Error ""cannot create folder""",1,,,,,
244,com.dozingcatsoftware.cameratimer,Amanda Hanson,Comes up with an error saying it cannot save the photo. Useless if you can't take or save the picture.,1,,,,,
245,com.dozingcatsoftware.cameratimer,Tanner Frisby,"A little klunky, but it works",3,,,,,
246,com.dozingcatsoftware.cameratimer,Liam bermudez,27,5,,,,,
247,com.dozingcatsoftware.cameratimer,Jerry,Not so good it's not complete my whishes,3,,,,,
248,com.dozingcatsoftware.cameratimer,Karen Black - Artify your Life,I've needed self shots for formal wear ideas..this app works great for that.,5,,,,,
249,com.dozingcatsoftware.cameratimer,rudy Rosas,Its not that bad and not that good either,4,,,,,
250,com.dozingcatsoftware.cameratimer,Cheyenne Gill,Couldn't even save the pictures for whatever reason,1,,,,,
251,com.dozingcatsoftware.cameratimer,Anuar Ariffin,Ok,3,,,,,
252,com.dozingcatsoftware.cameratimer,B O C,"I'm an android user, Samsung galaxy s6. It made my pictures have poor quality and they were completely zoomed out",1,,,,,
253,com.dozingcatsoftware.cameratimer,Ai Lin Yet,The pictures are extremely poor in quality!,1,,,,,
254,com.dozingcatsoftware.cameratimer,Em The Silly Goose,The camera is pretty sucky and either makes me look like a pin head or a potato so no,1,,,,,
255,com.dozingcatsoftware.cameratimer,Jazmyne Williams,it has really bad quality,1,,,,,
256,com.dozingcatsoftware.cameratimer,Jon T,Ads make this unusable even if it did work. Pictures don't save and just give an error message. At this point this app does nothing but play ads.,1,,,,,
257,com.dozingcatsoftware.cameratimer,Jordan Cain,"Horrendous quality, intrusive ads",1,,,,,
258,com.dozingcatsoftware.cameratimer,A Google user,Plays long video ads while you're trying to take a photo. Fails to save the photo afterwards. Just terrible.,1,,,,,
259,com.dozingcatsoftware.cameratimer,Kawaii Cholo,"Very bad picture quality, my ZTE Zmax has good quality photos but when I used this they came out very pixelated and non usable.",1,,,,,
260,com.dozingcatsoftware.cameratimer,Niamh Hallard,Love it,5,,,,,
261,com.dozingcatsoftware.cameratimer,Om Rastogi,Om don,5,,,,,
262,com.dozingcatsoftware.cameratimer,Blessy Moquerio,Blessy Uv,5,,,,,
263,com.dozingcatsoftware.cameratimer,Gwen Seit,Its really really cooooollllll✌✌👍👍(๑&gt;؂&lt;๑）,1,,,,,
264,com.dozingcatsoftware.cameratimer,Alex Grenlie,See above. Major ram hog. Horrible app,1,,,,,
265,com.dozingcatsoftware.cameratimer,Maria G. Aguirre,Brandon,5,,,,,
266,com.dozingcatsoftware.cameratimer,Christy Covarrubias,Christy007,1,,,,,
267,com.dozingcatsoftware.cameratimer,shadow viper,Bad to subatomic,1,,,,,
268,com.dozingcatsoftware.cameratimer,Shivam Shah,It is the best app I hv ever used in my whole life   all the users  kindly use this app,5,,,,,
269,com.dozingcatsoftware.cameratimer,Maria Jennifer Tambong,Nice,5,,,,,
270,com.dozingcatsoftware.cameratimer,bijoy rockz,Picture clarity is vdry poor while taking through this app 😥😞,2,,,,,
271,com.dozingcatsoftware.cameratimer,eugene's ak,Awesome its really useful,5,,,,,
272,com.dozingcatsoftware.cameratimer,sandro orlov,sandro 83,5,,,,,
273,com.dozingcatsoftware.cameratimer,dohevale,The photo is tiny and zoomed out,1,,,,,
274,com.dozingcatsoftware.cameratimer,Maame A-Hayford,Not quality,2,,,,,
275,com.dozingcatsoftware.cameratimer,Niewa Brown,Kik:niewa10 kik me,5,,,,,
